ID,Question,Correct Answers,Explanation,Tech Domain
1,Which command is sued to show all files in a named internal stage?,LIST @stage_name;,LIST is used to list all files.A named stage is referred to by using@stage_name;.A table stage is referred to by using@%stage_name;.A user stage is referred to by using@~;.,Data Loading and Unloading
2,Which statements are true? Select all that apply.,Snowflake uses a hybrid of shared-disk and shared-nothing architecture.\nSnowflake is best described with multi-cluster shared-data architecture.\nDifferent warehouses can all access a central data repository.,"Snowflake’s architecture is best described with multi-cluster shared data architecture which combines the benefits of shared-disk and shared-nothing architecture.Warehouses have their own CPU, memory, and local data cache but they can all access a central data repositor.",Snowflake Data Cloud Features & Architecture
3,What type of transformations are supported during loading?,Casting data types\nColumn omitting\nColumn reordering,"During loading the following transformations cannot be used:Aggregations functions and GROUP BY, the FLATTEN function, WHERE clause, JOINs, and some SQL functions.",Data Transformations
4,Which columns should be considered for a clustering key?,Columns that are frequently used in JOINs\nColumns that are frequently used in WHERE filtering,"Selective queries where the columns appear in WHERE clauses are ideal candidates as well as columns that appear in JOINs. Also, columns used to sort the results also benefit from a clustering key. In general, clustering keys can improve query performance through more effective partition pruning.",Performance Concepts
5,Materialized views are available starting from which edition?,Enterprise Edition,Materialized views are available starting from Enterprise edition.,Performance Concepts
6,What is the behavior of the VALIDATION_MODE parameter set to RETURN_n_ROWS in the COPY command?,"Validate the first n rows and return them if no error occurs, otherwise return the first error.","The VALIDATION_MODE parameter in the COPY command is used to validate the data files instead of loading them. When it is set to RETURN_n_ROWS it returns the first n rows if no errors are encountered. Otherwise, it fails with the first error encountered in these first n rows.",Data Loading and Unloading
7,What are the possible scaling policies in a multi-cluster warehouse?,Economy\nStandard,A Snowpark-optimized warehouse is a specific type of warehouse but not a scaling policy.Performance is not a scaling policy and is just made up.,Snowflake Data Cloud Features & Architecture
8,What sections can be part of a Snowflake Scripting block?,EXCEPTION\nDECLARE\nBEGIN\nEND,BEGIN and END are part of every block.DECLARE can be used to optionally declare variables.EXCEPTION can be used to optionally handle exceptions.,Data Transformations
9,Which type of objects can be shared?,Secure views\nSecure UDFs\nExternal Tables,The following objects can be shared:TablesExternal tablesSecure viewsSecure materialized viewsSecure UDFs,Data Proctection and Data Sharing
10,Which statements about the three distinct layers in the Snowflake architecture are true?Select all that apply.,"Snowflake uses storage of other cloud providers (AWS, GCP, or Azure).\nSnowflake has decoupled compute and storage.","Snowflake has decoupled compute and storage which allows to independently scale compute and storage. The data is stored on cloud storage such as Azure Blob Storage, Google Cloud Storage, or AWS S3 buckets.",Snowflake Data Cloud Features & Architecture
11,Where is an external function executed?,Outside of Snowflake,External functions are stored and executed outside of Snowflake.,Data Transformations
12,What are the different types of internal stages?,Table Stages\nNamed Internal Stages\nUser Stages,"The three types of internal stages in Snowflake are User Stage (owned by a specific user), Table Stage (associated with a specific table), and Named Stage (shared across multiple users).",Data Loading and Unloading
13,Which editions offer the creation and usage of materialized views? (Select all that apply.),Enterprise\nBusiness Critical\nVirtual Private Snowflake,Materialized views are available for all editions starting from Enterprise.,Snowflake Data Cloud Features & Architecture
14,For how many seconds are we charged if a warehouse is active for 2:46 minutes?,166 seconds,"Snowflake credit consumption is charged on a per-second basis with a minimum of 1 minute. Therefore, if it runs for 2:46 minutes (=166 seconds) we are charged for 166s.",Snowflake Data Cloud Features & Architecture
15,Which statements about roles and privileges are correct?,Roles can be granted to other roles.\nPrivileges are granted to roles.,bject can only have one owner.Privileges can be only granted to roles.Roles can also be granted to other roles.,Account Access and Security
16,On which of the following operating systems can SnowSQL be installed on?,macOS\nWindows\nLinux,"Snowflake SQL can be installed on Windows, Linux, and MacOS.",Snowflake Data Cloud Features & Architecture
